numSplits,split,accuracy,precision,recall,model,features
5,1,0.8055731575554554,0.8741271545948024,0.7197091382678533,Random Forest,mouse
5,1,0.8748622492612637,0.933900765826948,0.8097460386368569,Random Forest,stats
5,1,0.8126800422923285,0.8731619893934928,0.735269698285218,Random Forest,items-hashed
5,1,0.7858338367765335,0.8191629626214493,0.7396353375298459,Random Forest,items-onehot
5,1,0.8078209836572366,0.8343959053823037,0.7743325374430216,Random Forest,items-starting
5,1,0.8785616501199429,0.8799000706196463,0.8782939005860646,Random Forest,items-select
5,1,0.8882562148241988,0.8529600303723839,0.9432087041458649,Random Forest,mouse-stats
5,2,0.8755772910075279,0.8609011798414372,0.9011667028434991,Random Forest,mouse-stats
5,3,0.8726220665069906,0.8372298664691706,0.9306815715215976,Random Forest,mouse-stats
5,4,0.891253068317113,0.8701917740578307,0.9284648361189494,Random Forest,mouse-stats
5,5,0.8908799391549241,0.8859020198560594,0.9004585413501193,Random Forest,mouse-stats
5,1,0.90018536473827,0.9469565240415829,0.8510554590840027,Random Forest,mouse-items-hashed
5,1,0.90091152408091,0.9354963750120856,0.865034187106577,Random Forest,mouse-items-onehot
