numSplits,split,accuracy,precision,recall,model
1,1,0.41207805155960686,0.4140553194760697,0.45850379894798354,Logistic Regression,mouse
1,1,0.47967525993448235,0.4764514220116787,0.5444184687317358,Logistic Regression,stats
1,1,0.4577268195413759,0.45574504290143486,0.5306838106370544,Logistic Regression,items-hashed
1,1,0.43399800598205385,0.43330108681190005,0.4928112215078901,Logistic Regression,items-onehot
1,1,0.43565019228030194,0.43807785504903973,0.5100526008182349,Logistic Regression,items-starting
1,1,0.4999857570146703,0.4929694657382284,0.4963763880771479,Logistic Regression,items-select
1,1,0.41882922660589655,0.41866199431262857,0.45850379894798354,Logistic Regression,mouse-stats
1,1,0.4171627973223188,0.41542808548445553,0.44120397428404445,Logistic Regression,mouse-items-hashed
1,1,0.4053268765133172,0.40871303592011027,0.4551139684395091,Logistic Regression,mouse-items-onehot
1,1,0.41042586526135877,0.4137863668898151,0.46540035067212154,Logistic Regression,mouse-items-start
1,1,0.4121065375302663,0.4141716375284187,0.4687317358270017,Logistic Regression,mouse-items-select
1,1,0.43737359350519867,0.44035454333248447,0.5303915838690824,Logistic Regression,stats-items-hashed
1,1,0.41733371314627543,0.4131518010141938,0.4727644652250147,Logistic Regression,stats-items-onehot
1,1,0.4508474576271186,0.44980951712767264,0.5441846873173583,Logistic Regression,stats-items-start
1,1,0.5016237003275886,0.4942066499105926,0.5374634716540035,Logistic Regression,stats-items_select
1,1,0.4086739780658026,0.4094687467218151,0.44815897136177674,Logistic Regression,mouse-stats-items-hashed
1,1,0.41041162227602906,0.4118669135267615,0.45166569257744005,Logistic Regression,mouse-stats-items-onehot
1,1,0.42559464463751595,0.424334143339231,0.46183518410286384,Logistic Regression,mouse-stats-items-start
1,1,0.40705027773821384,0.4098708635996771,0.46201052016364696,Logistic Regression,mouse-stats-items-select
1,1,0.7095143142002562,0.6954398292174437,0.7364114552893044,Random Forest,mouse
1,1,0.650363196125908,0.672370957334228,0.5687317358270018,Random Forest,stats
1,1,0.6183307221193562,0.6372436338328011,0.5375803623611922,Random Forest,items-hashed
1,1,0.5743768693918245,0.5745758146290294,0.5373465809468148,Random Forest,items-onehot
1,1,0.5963110667996012,0.5978301249577844,0.5513150204558738,Random Forest,items-starting
1,1,0.6063951004130466,0.6000800353153266,0.6061367621274109,Random Forest,items-select
1,1,0.7314769975786926,0.7106280956424169,0.7739918176504968,Random Forest,mouse-stats
1,1,0.6976783933912547,0.6882133906194056,0.7224430157802455,Random Forest,mouse-items-hashed
1,1,0.702748896168637,0.699599664489482,0.7158971361776738,Random Forest,mouse-items-onehot
1,1,0.697664150405925,0.6749075288437779,0.7568088836937463,Random Forest,mouse-items-start
1,1,0.7128756587380713,0.706037730998029,0.7191116306253653,Random Forest,mouse-items-select
1,1,0.658809286426435,0.6355326761923463,0.7292811221507891,Random Forest,stats-items-hashed
1,1,0.6435692921236291,0.6329509804791174,0.6643483343074226,Random Forest,stats-items-onehot
1,1,0.6757299529981484,0.6618927244277907,0.6918176504967856,Random Forest,stats-items-start
1,1,0.6943028058681099,0.6750270702372734,0.7367621274108708,Random Forest,stats-items_select
1,1,0.7280729240848882,0.7484962982698348,0.6818234950321449,Random Forest,mouse-stats-items-hashed
1,1,0.7044438114228742,0.7050945720945722,0.6949736995908825,Random Forest,mouse-stats-items-onehot
1,1,0.7331861558182595,0.7309106157171616,0.7228521332554061,Random Forest,mouse-stats-items-start
1,1,0.7280729240848881,0.7410353118415859,0.7225014611338398,Random Forest,mouse-stats-items-select
1,1,0.7601481270474292,0.7562172254886382,0.7569257744009351,Multi-layer Perceptron,mouse
1,1,0.5084033613445379,0.5080537124259406,0.7720631209818819,Multi-layer Perceptron,stats
1,1,0.6367611451360204,0.630337583250411,0.6711279953243716,Multi-layer Perceptron,items-hashed
1,1,0.6620994160376015,0.6357177871148458,0.7361776738749269,Multi-layer Perceptron,items-onehot
1,1,0.6706167212647771,0.6457216108122086,0.7296317942723552,Multi-layer Perceptron,items-starting
1,1,0.6267340834638941,0.6265529884095165,0.6163062536528346,Multi-layer Perceptron,items-select
1,1,0.7398946019085599,0.7364720494742832,0.7397428404441847,Multi-layer Perceptron,mouse-stats
1,1,0.675701467027489,0.6758127803082778,0.6608416130917592,Multi-layer Perceptron,mouse-items-hashed
1,1,0.6993305796895029,0.6743375237580681,0.7568673290473408,Multi-layer Perceptron,mouse-items-onehot
1,1,0.714456630109671,0.7173330765279917,0.7016949152542373,Multi-layer Perceptron,mouse-items-start
1,1,0.7229596923515168,0.7425968937859923,0.6779076563413209,Multi-layer Perceptron,mouse-items-select
1,1,0.5454636091724826,0.5407699076345354,0.5237288135593221,Multi-layer Perceptron,stats-items-hashed
1,1,0.5354792764563452,0.5285183149484076,0.5649912331969608,Multi-layer Perceptron,stats-items-onehot
1,1,0.6535963537957556,0.6297988183543212,0.7225599064874342,Multi-layer Perceptron,stats-items-start
1,1,0.6165076199971514,0.6135917277167278,0.6059614260666277,Multi-layer Perceptron,stats-items_select
1,1,0.6635949294972227,0.6781123106847867,0.6227936879018118,Multi-layer Perceptron,mouse-stats-items-hashed
1,1,0.6367184161800313,0.6585308750365818,0.5895382817066043,Multi-layer Perceptron,mouse-stats-items-onehot
1,1,0.6906281156530409,0.7006978235683549,0.6708357685563999,Multi-layer Perceptron,mouse-stats-items-start
1,1,0.6906993305796895,0.5962822568149982,0.567270601987142,Multi-layer Perceptron,mouse-stats-items-select
2,1,0.4662156387978921,0.4703970584237284,0.5067212156633547,Logistic Regression,mouse
2,2,0.45950719270759155,0.46086171310629515,0.5306838106370544,Logistic Regression,mouse
2,1,0.47967525993448235,0.4764514220116787,0.5444184687317358,Logistic Regression,stats
2,2,0.47967525993448235,0.4764514220116787,0.5444184687317358,Logistic Regression,stats
2,1,0.4577268195413759,0.45574504290143486,0.5306838106370544,Logistic Regression,items-hashed
2,2,0.4577268195413759,0.45574504290143486,0.5306838106370544,Logistic Regression,items-hashed
2,1,0.43399800598205385,0.43330108681190005,0.4928112215078901,Logistic Regression,items-onehot
2,2,0.43399800598205385,0.43330108681190005,0.4928112215078901,Logistic Regression,items-onehot
2,1,0.43565019228030194,0.43807785504903973,0.5100526008182349,Logistic Regression,items-starting
2,2,0.43565019228030194,0.43807785504903973,0.5100526008182349,Logistic Regression,items-starting
2,1,0.4999857570146703,0.4929694657382284,0.4963763880771479,Logistic Regression,items-select
2,2,0.4999857570146703,0.4929694657382284,0.4963763880771479,Logistic Regression,items-select
2,1,0.4662298817832218,0.4702655588139459,0.5067212156633547,Logistic Regression,mouse-stats
2,2,0.45950719270759155,0.46086171310629515,0.5306838106370544,Logistic Regression,mouse-stats
2,1,0.472952570858852,0.47298028000763814,0.4931618936294565,Logistic Regression,mouse-items-hashed
2,2,0.4696054693063666,0.46526827643223145,0.4721800116890707,Logistic Regression,mouse-items-hashed
2,1,0.47128614157527415,0.47455020637321993,0.4859731151373465,Logistic Regression,mouse-items-onehot
2,2,0.46792479703745904,0.4675663962277234,0.5340736411455289,Logistic Regression,mouse-items-onehot
2,1,0.4729952998148412,0.47607667368984685,0.513676212741087,Logistic Regression,mouse-items-start
2,2,0.4662441247685514,0.465622245921248,0.5306838106370544,Logistic Regression,mouse-items-start
2,1,0.479746474861131,0.4802580858453891,0.5617767387492695,Logistic Regression,mouse-items-select
2,2,0.4578122774533542,0.45904353128811326,0.5306838106370544,Logistic Regression,mouse-items-select
2,1,0.43737359350519867,0.44035454333248447,0.5303915838690824,Logistic Regression,stats-items-hashed
2,2,0.43737359350519867,0.44035454333248447,0.5303915838690824,Logistic Regression,stats-items-hashed
2,1,0.41733371314627543,0.4131518010141938,0.4727644652250147,Logistic Regression,stats-items-onehot
2,2,0.41733371314627543,0.4131518010141938,0.4727644652250147,Logistic Regression,stats-items-onehot
2,1,0.4508474576271186,0.44980951712767264,0.5441846873173583,Logistic Regression,stats-items-start
2,2,0.4508474576271186,0.44980951712767264,0.5441846873173583,Logistic Regression,stats-items-start
2,1,0.5016237003275886,0.4942066499105926,0.5374634716540035,Logistic Regression,stats-items_select
2,2,0.5016237003275886,0.4942066499105926,0.5374634716540035,Logistic Regression,stats-items_select
2,1,0.46786782509614017,0.4694164678405944,0.5067212156633547,Logistic Regression,mouse-stats-items-hashed
2,2,0.4611736219911694,0.46114393149542005,0.5307422559906487,Logistic Regression,mouse-stats-items-hashed
2,1,0.472952570858852,0.4773734208945477,0.5134424313267095,Logistic Regression,mouse-stats-items-onehot
2,2,0.46625836775388124,0.4659414020712244,0.5307422559906487,Logistic Regression,mouse-stats-items-onehot
2,1,0.4645349665289845,0.4629274375537419,0.4689070718877849,Logistic Regression,mouse-stats-items-start
2,2,0.4645776954849737,0.4616284634063387,0.4928112215078901,Logistic Regression,mouse-stats-items-start
2,1,0.4695769833357072,0.4676078457374107,0.47253068381063706,Logistic Regression,mouse-stats-items-select
2,2,0.48145563310069794,0.4788166793697961,0.5099941554646406,Logistic Regression,mouse-stats-items-select
2,1,0.6908560034183164,0.677781813290288,0.705260081823495,Random Forest,mouse
2,2,0.6756160091155106,0.6761459151858425,0.6608416130917592,Random Forest,mouse
2,1,0.6300954280017091,0.6472205156163178,0.5616598480420807,Random Forest,stats
2,2,0.6216493377011822,0.6431444156254922,0.5272939801285799,Random Forest,stats
2,1,0.6165930779091298,0.6267978561013078,0.537697253068381,Random Forest,items-hashed
2,2,0.5962256088876228,0.6018661834203888,0.5410286382232613,Random Forest,items-hashed
2,1,0.6266201395812562,0.6391918599265047,0.5512565751022793,Random Forest,items-onehot
