feature,accuracy,precision,recall,model
ATTACK,0.6586156891995054,0.759042277581156,0.6747175532103391,Logistic Regression
MOVE,0.6457601149979023,0.6552444475911325,0.6720482149975247,Logistic Regression
CAST,0.6339822476920336,0.6683102473370962,0.6665716721890143,Logistic Regression
ATTACK,0.6886674887927515,0.7447184632759656,0.7730197144217545,Random Forest
MOVE,0.6593874417452695,0.6599887255684901,0.696858090398381,Random Forest
CAST,0.6128901019263113,0.6532361977812134,0.6251878842814781,Random Forest
ATTACK,0.7328662194775969,0.7582747759957749,0.8474642057368378,Multi-layer Perceptron
MOVE,0.704792600771557,0.707648053069391,0.7381021600623443,Multi-layer Perceptron
CAST,0.6213537468349691,0.6434338174090588,0.7115289078568223,Multi-layer Perceptron
