numSplits,split,accuracy,precision,recall,model,features
5,3,0.4722505078602749,0.4762299426616887,0.48229596266550895,Logistic Regression,mouse-items-onehot
5,4,0.4674087481431496,0.46635525429917946,0.36361515085739093,Logistic Regression,mouse-items-onehot
5,5,0.46738170582984645,0.4659875997424356,0.42034675493813767,Logistic Regression,mouse-items-onehot
5,1,0.4714889189284414,0.4802178744126978,0.5295691339266334,Logistic Regression,mouse-items-start
5,2,0.4863830754846564,0.4879070459211782,0.45129693943998267,Logistic Regression,mouse-items-start
5,3,0.48195195390206447,0.48405349240635526,0.4587502713262427,Logistic Regression,mouse-items-start
5,4,0.4692584563217433,0.47441207935304963,0.4314846971999132,Logistic Regression,mouse-items-start
5,5,0.46962743704996857,0.4681734471725668,0.3835115042326894,Logistic Regression,mouse-items-start
5,1,0.46962465506778994,0.47823815213090193,0.4978592359453007,Logistic Regression,mouse-items-select
5,2,0.4927201209172926,0.4988016539631137,0.4778760581723464,Logistic Regression,mouse-items-select
5,3,0.4707829153954015,0.47584556138794304,0.5000081397872803,Logistic Regression,mouse-items-select
5,4,0.4752216364130625,0.47779442720510756,0.4403516388105057,Logistic Regression,mouse-items-select
5,5,0.4655223007514399,0.46730044161179113,0.4218200564358585,Logistic Regression,mouse-items-select
5,1,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
5,2,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
5,3,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
5,4,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
5,5,0.49424457740786626,0.5022422564163855,0.5434881701758194,Logistic Regression,stats-items-hashed
5,1,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
5,2,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
5,3,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
5,4,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
5,5,0.47669271604222657,0.48275664937194085,0.5036493379639679,Logistic Regression,stats-items-onehot
5,1,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
5,2,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
5,3,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
5,4,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
5,5,0.4889894853989073,0.49603099368098524,0.5641388105057521,Logistic Regression,stats-items-start
5,1,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items-select
5,2,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items-select
5,3,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items-select
5,4,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items-select
5,5,0.519937363296702,0.5222543111146838,0.5922400694595181,Logistic Regression,stats-items-select
5,1,0.48714114108901396,0.49587645315104334,0.4993596700672889,Logistic Regression,mouse-stats-items-hashed
5,2,0.45886551076727844,0.45783285199991114,0.44252767527675274,Logistic Regression,mouse-stats-items-hashed
5,3,0.48081452356914933,0.490231263400284,0.48167733883221187,Logistic Regression,mouse-stats-items-hashed
5,4,0.4737423089945798,0.4782016418893951,0.42854894725417847,Logistic Regression,mouse-stats-items-hashed
5,5,0.47484713046675,0.47429736122097105,0.4026318645539396,Logistic Regression,mouse-stats-items-hashed
5,1,0.4919766058288236,0.4998454354637187,0.5318048621662687,Logistic Regression,mouse-stats-items-onehot
5,2,0.46294778676656795,0.4648789483346875,0.4639000434121988,Logistic Regression,mouse-stats-items-onehot
5,3,0.48789782990924796,0.4957836678286748,0.48093119166485787,Logistic Regression,mouse-stats-items-onehot
5,4,0.473726348114467,0.48040951588533487,0.4653434990232255,Logistic Regression,mouse-stats-items-onehot
5,5,0.46739835122739404,0.46945160458103175,0.4196141740829173,Logistic Regression,mouse-stats-items-onehot
5,1,0.47335252151942003,0.48066044099887506,0.4676443455611026,Logistic Regression,mouse-stats-items-start
5,2,0.48081103898794336,0.48680644667732603,0.49639407423485993,Logistic Regression,mouse-stats-items-start
5,3,0.471142199223814,0.4754912517883402,0.48451541133058385,Logistic Regression,mouse-stats-items-start
5,4,0.45884748083635324,0.45718352962904074,0.3732390926850445,Logistic Regression,mouse-stats-items-start
5,5,0.47036399072527957,0.46921709688705004,0.4314277186889516,Logistic Regression,mouse-stats-items-start
5,1,0.4796805209895777,0.48754121232373065,0.49495061862383327,Logistic Regression,mouse-stats-items-select
5,2,0.4752202777105315,0.4807144339773453,0.4845940959409594,Logistic Regression,mouse-stats-items-select
5,3,0.47411547431995393,0.4795190368894621,0.48967874972867376,Logistic Regression,mouse-stats-items-select
5,4,0.4692730249192244,0.46754709705548186,0.35699207727371396,Logistic Regression,mouse-stats-items-select
5,5,0.481157125836829,0.48215589398268277,0.45281365313653144,Logistic Regression,mouse-stats-items-select
5,1,0.7880761092462961,0.8723575323530639,0.6835956153679185,Random Forest,mouse
5,2,0.7728019447734433,0.8577865012929135,0.660690253961363,Random Forest,mouse
5,3,0.7739254987755662,0.8806507891337884,0.6393097460386369,Random Forest,mouse
5,4,0.7821219337881009,0.8788601883399261,0.6621988278706317,Random Forest,mouse
5,5,0.7646345952941778,0.8773667695132226,0.619481224224007,Random Forest,mouse
5,1,0.8629247120713023,0.9357064091579247,0.7824614716735403,Random Forest,stats
5,2,0.862182633177904,0.9171216341143863,0.8008872368135446,Random Forest,stats
5,3,0.8729813012567946,0.9382391138238291,0.8016143911439114,Random Forest,stats
5,4,0.8632964980294681,0.926880878075842,0.792020295202952,Random Forest,stats
5,5,0.8815619726955551,0.9355136466832663,0.8230600173648795,Random Forest,stats
5,1,0.805195143780175,0.8788817836050129,0.7130996309963099,Random Forest,items-hashed
5,2,0.8003561996253288,0.8636060564488997,0.717524962014326,Random Forest,items-hashed
5,3,0.8082107117214493,0.8667106195662967,0.7330936618189711,Random Forest,items-hashed
5,4,0.7944138185316899,0.872919456383326,0.6946955719557195,Random Forest,items-hashed
