numSplits,split,accuracy,precision,recall,model,features
1,1,0.8952133777577774,0.9884144273280879,0.7988437066144691,Logistic Regression,mouse
1,1,0.9331942900567514,0.9810973765082238,0.8843520194661526,Random Forest,mouse
1,1,0.9341515188892962,0.9616588092033309,0.9035125416378452,Multi-layer Perceptron,mouse
1,1,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
1,1,0.9912862216149959,0.983269388380031,1.0,Random Forest,stats
1,1,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
1,1,0.8489441880077038,0.9828029550463011,0.7138632561653446,Logistic Regression,mouse-stats
1,1,0.9469225313834402,0.9202125767856357,0.9815047021943574,Random Forest,mouse-stats
1,1,0.922159326176355,0.9627665851252368,0.8803018038569277,Multi-layer Perceptron,mouse-stats
2,1,0.8645711414813502,0.9733515434380123,0.7465853287611423,Logistic Regression,mouse
2,2,0.8467682251926367,0.9480098613616679,0.7329796262773435,Logistic Regression,mouse
2,1,0.8869775470981358,0.9480656928558773,0.8242115178006386,Random Forest,mouse
2,2,0.9067414359626744,0.9804644275149185,0.8286306483975256,Random Forest,mouse
2,1,0.8930504961479254,0.9652818100088127,0.8135983438071829,Multi-layer Perceptron,mouse
2,2,0.8600316016958324,0.9603864768616314,0.7499717917396402,Multi-layer Perceptron,mouse
2,1,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
2,2,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
2,1,0.9906631686554943,0.983269388380031,0.9987460815047022,Random Forest,stats
2,2,0.9940902021772938,0.9887740029542098,1.0,Random Forest,stats
2,1,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
2,2,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
2,1,0.769898594738475,0.9990099009900991,0.5375979317212926,Logistic Regression,mouse-stats
2,2,0.7583507940747778,0.9652323943860595,0.5343895487168921,Logistic Regression,mouse-stats
2,1,0.9545605027043635,0.9205736741139067,0.9993730407523511,Random Forest,mouse-stats
2,2,0.9464558494431138,0.9258820653887128,0.974921630094044,Random Forest,mouse-stats
2,1,0.9047321360722085,0.9581320540937046,0.844943362718982,Multi-layer Perceptron,mouse-stats
2,2,0.8807424125946348,0.9447751270126116,0.8094922022556797,Multi-layer Perceptron,mouse-stats
3,1,0.8329267474564466,0.9782231454749472,0.6788477293576856,Logistic Regression,mouse
3,2,0.7868560770134796,0.928040487350982,0.6177697322913447,Logistic Regression,mouse
3,3,0.852107907180413,0.9729505770553247,0.7215118646395966,Logistic Regression,mouse
3,1,0.8939923465052342,0.9729195172195506,0.8101603700923758,Random Forest,mouse
3,2,0.8924021323099718,0.9562817527556028,0.8223242625379585,Random Forest,mouse
3,3,0.8891194714446564,0.966137206080575,0.809113966277638,Random Forest,mouse
3,1,0.8626788481549195,0.9417958155784291,0.771277122855559,Multi-layer Perceptron,mouse
3,2,0.8812075294655608,0.9350847884454969,0.8173463630967273,Multi-layer Perceptron,mouse
3,3,0.8301417799800854,0.9058136088075326,0.7355566348281257,Multi-layer Perceptron,mouse
3,1,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
3,2,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
3,3,0.5908864572312739,0.2567407025054781,0.4,Logistic Regression,stats
3,1,0.9797641022659554,0.9829699333342585,0.9768113382489293,Random Forest,stats
3,2,0.9827119760856189,0.9858698549179568,0.9799377946536761,Random Forest,stats
3,3,0.9939341966928776,0.9884282544378697,1.0,Random Forest,stats
3,1,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
3,2,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
3,3,0.5030359899415542,0.0,0.0,Multi-layer Perceptron,stats
3,1,0.7490275323834295,0.9887301532986588,0.5006053737962433,Logistic Regression,mouse-stats
3,2,0.8047429296217775,0.9224899334574165,0.6894643374002286,Logistic Regression,mouse-stats
3,3,0.723989632423789,0.969722465034965,0.4555692917519047,Logistic Regression,mouse-stats
3,1,0.9500463942597582,0.915754287137117,0.9971786833855798,Random Forest,mouse-stats
3,2,0.9402288326767186,0.9184135416468673,0.9711598746081505,Random Forest,mouse-stats
3,3,0.9336881114919097,0.8888360642478498,0.993103448275862,Random Forest,mouse-stats
3,1,0.8617360342864441,0.9573913728512891,0.7562340255395137,Multi-layer Perceptron,mouse-stats
3,2,0.8578424392867786,0.9436216369140814,0.7593595007873785,Multi-layer Perceptron,mouse-stats
3,3,0.8644164737146482,0.9184574449260946,0.7992077158177207,Multi-layer Perceptron,mouse-stats
5,1,0.8101874961436459,0.9537058858798705,0.6499977923970154,Logistic Regression,mouse
5,2,0.7736378792114426,0.9248154332346468,0.5889762118513939,Logistic Regression,mouse
5,3,0.7583533407529914,0.9210347841724159,0.5691612580393542,Logistic Regression,mouse
5,4,0.8149001152235688,0.9601958860074674,0.654157897577033,Logistic Regression,mouse
