numSplits,split,accuracy,precision,recall
1,1,0.9558573853989814,0.9981617647058824,0.9141414141414141
1,1,0.9949066213921901,0.9983050847457627,0.9915824915824916
1,1,0.9320882852292021,0.9589285714285715,0.9040404040404041
1,1,0.9516129032258065,1.0,0.9040404040404041
1,1,0.8963466440101954,1.0,0.7946127946127947
2,1,0.8607809847198642,0.8937728937728938,0.8215488215488216
2,1,0.9473684210526315,0.99812734082397,0.8973063973063973
2,1,0.9057724957555179,0.9938650306748467,0.8181818181818182
2,1,0.9490662139219015,0.989010989010989,0.9090909090909091
2,1,0.8912489379779099,1.0,0.7845117845117845
2,2,0.9813242784380306,0.9642857142857143,1.0
2,2,0.9261460101867572,0.9470899470899471,0.9040404040404041
2,2,0.9083191850594228,1.0,0.8181818181818182
2,2,0.9227504244482173,0.9358752166377816,0.9090909090909091
2,2,0.7595581988105352,0.928374655647383,0.5673400673400674
3,1,0.8752122241086587,0.9041591320072333,0.8417508417508418
3,1,0.9252971137521222,0.9407665505226481,0.9090909090909091
3,1,0.9125636672325976,0.957169459962756,0.8653198653198653
3,1,0.898981324278438,0.8925619834710744,0.9090909090909091
3,1,0.8419711129991504,0.9473684210526315,0.7272727272727273
3,2,0.9125636672325976,0.9521178637200737,0.8703703703703703
3,2,0.967741935483871,0.9469453376205788,0.9915824915824916
3,2,0.9193548387096774,0.9544626593806922,0.8821548821548821
3,2,0.8573853989813243,0.9976635514018691,0.7188552188552189
3,2,0.8853016142735769,0.9473684210526315,0.8181818181818182
3,3,0.9295415959252971,0.9490333919156415,0.9090909090909091
3,3,0.9626485568760611,0.9478827361563518,0.9797979797979798
3,3,0.870118845500849,0.9152542372881356,0.8181818181818182
3,3,0.9397283531409168,0.9694793536804309,0.9090909090909091
3,3,0.8258283772302464,0.8945233265720081,0.7424242424242424
