numSplits,split,accuracy,precision,recall
1,1,0.931239388794567,0.9211822660098522,0.9444444444444444
1,1,0.9168081494057725,0.9592592592592593,0.8720538720538721
1,1,0.8556876061120543,0.9930232558139535,0.7188552188552189
1,1,0.9185059422750425,0.9882352941176471,0.8484848484848485
1,1,0.8776550552251486,1.0,0.7575757575757576
2,1,0.8786078098471987,0.9447731755424064,0.8063973063973064
2,1,0.9202037351443124,0.9807692307692307,0.8585858585858586
2,1,0.8607809847198642,0.946058091286307,0.7676767676767676
2,1,0.8896434634974533,0.953125,0.8215488215488216
2,1,0.8309260832625318,0.9876543209876543,0.6734006734006734
2,2,0.8887945670628183,0.9247706422018349,0.8484848484848485
2,2,0.5042444821731749,0.5042444821731749,1.0
2,2,0.8853989813242784,0.9831578947368421,0.7861952861952862
2,2,0.9100169779286927,0.9939271255060729,0.8265993265993266
2,2,0.923534409515718,0.9921875,0.8552188552188552
3,1,0.8998302207130731,0.84,0.98989898989899
3,1,0.7385398981324278,0.9673202614379085,0.4983164983164983
3,1,0.7971137521222411,0.9297820823244553,0.6464646464646465
3,1,0.5042444821731749,0.5042444821731749,1.0
3,1,0.7986406117247239,0.9343065693430657,0.6464646464646465
3,2,0.5042444821731749,0.5042444821731749,1.0
3,2,0.8081494057724957,0.9279069767441861,0.6717171717171717
3,2,0.5042444821731749,0.5042444821731749,1.0
3,2,0.9066213921901528,0.9898785425101214,0.8232323232323232
3,2,0.7892948173322005,0.9832402234636871,0.5925925925925926
3,3,0.8480475382003395,0.9108910891089109,0.7744107744107744
3,3,0.8251273344651953,0.9041666666666667,0.7306397306397306
3,3,0.8955857385398981,0.945179584120983,0.8417508417508418
3,3,0.9125636672325976,0.9439421338155516,0.8787878787878788
3,3,0.5046728971962616,0.5046728971962616,1.0
