feature,accuracy,precision,recall,model
ATTACK,0.6586156891995054,0.759042277581156,0.6747175532103391,Logistic Regression
MOVE,0.6457601149979023,0.6552444475911325,0.6720482149975247,Logistic Regression
CAST,0.6339822476920336,0.6683102473370962,0.6665716721890143,Logistic Regression
ATTACK,0.6882518444370191,0.7447362574646335,0.7725362345880743,Random Forest
MOVE,0.6609005885280632,0.6609194324922231,0.6995714740965419,Random Forest
CAST,0.615151355651423,0.6565761165575564,0.6291777066567972,Random Forest
ATTACK,0.7303005097593726,0.7592993870174594,0.844765440316985,Multi-layer Perceptron
MOVE,0.7019006906152928,0.6993779068999257,0.7427175187510784,Multi-layer Perceptron
CAST,0.6200322624235668,0.6518206207700055,0.6823496523469533,Multi-layer Perceptron
