numSplits,split,accuracy,precision,recall
1,1,0.8811544991511036,1.0,0.7643097643097643
1,1,0.9371816638370118,0.9980842911877394,0.877104377104377
1,1,0.8404074702886248,1.0,0.6835016835016835
1,1,0.8624787775891342,0.9976958525345622,0.7289562289562289
1,1,0.8232795242141037,1.0,0.6498316498316499
2,1,0.8404074702886248,0.9856459330143541,0.6936026936026936
2,1,0.9380305602716469,0.9943074003795066,0.8821548821548821
2,1,0.7555178268251274,0.9722222222222222,0.5303030303030303
2,1,0.8837011884550084,0.9691991786447639,0.7946127946127947
2,1,0.7519116397621071,0.9520958083832335,0.5353535353535354
2,2,0.9202037351443124,0.9432624113475178,0.8956228956228957
2,2,0.797962648556876,0.9517766497461929,0.6313131313131313
2,2,0.7741935483870968,0.883177570093458,0.6363636363636364
2,2,0.8098471986417657,1.0,0.622895622895623
2,2,0.892948173322005,0.9936708860759493,0.7929292929292929
3,1,0.8853989813242784,0.9872611464968153,0.7828282828282829
3,1,0.9057724957555179,1.0,0.8131313131313131
3,1,0.769100169779287,0.9472222222222222,0.5740740740740741
3,1,0.9100169779286927,0.9728682170542635,0.8451178451178452
3,1,0.7918436703483432,1.0,0.5875420875420876
3,2,0.8030560271646859,0.9330143540669856,0.6565656565656566
3,2,0.8200339558573854,0.9244444444444444,0.7003367003367004
3,2,0.7758913412563667,0.880184331797235,0.6430976430976431
3,2,0.8845500848896435,0.975103734439834,0.7912457912457912
3,2,0.7179269328802039,0.9145569620253164,0.48653198653198654
3,3,0.9134125636672326,0.9538745387453874,0.8703703703703703
3,3,0.8217317487266553,0.9660194174757282,0.67003367003367
3,3,0.83276740237691,0.9692671394799054,0.6902356902356902
3,3,0.8879456706281834,0.9601593625498008,0.8114478114478114
3,3,0.8411214953271028,1.0,0.6851851851851852
